subjects,S,condition,R,rt
1,left,intoxicated,left,0.368934551
1,right,intoxicated,left,0.226222432
1,right,intoxicated,right,0.471413863
1,right,intoxicated,right,0.340930634
1,right,intoxicated,right,0.300344996
1,left,hangover,right,0.441807729
1,left,hangover,right,0.436559001
1,right,hangover,right,0.301519427
1,right,intoxicated,right,0.231109828
1,left,hangover,right,0.30657126
1,right,hangover,right,0.217214469
1,left,hangover,right,0.252545943
1,right,intoxicated,right,0.282887072
1,right,intoxicated,left,0.952896082
1,left,hangover,left,0.308469679
1,right,intoxicated,right,0.25215221
1,right,intoxicated,right,0.339727415
1,left,hangover,right,0.249148151
1,right,hangover,left,0.30020052
1,left,hangover,right,0.29145025
1,right,intoxicated,right,0.192492154
1,left,intoxicated,right,0.255755637
1,left,hangover,left,0.354497159
1,left,hangover,left,0.202139881
1,left,intoxicated,left,0.213057176
1,left,hangover,left,0.234861575
1,left,hangover,left,0.2625928
1,left,hangover,right,0.215535191
1,left,intoxicated,left,0.312389135
1,right,intoxicated,right,0.384404709
1,left,intoxicated,left,0.240382305
1,left,hangover,left,0.538327549
1,left,intoxicated,left,0.233779297
1,right,intoxicated,right,0.433839931
1,right,hangover,right,0.199410837
1,left,intoxicated,left,0.421922699
1,left,intoxicated,right,0.188433851
1,left,hangover,left,0.214026699
1,right,intoxicated,right,0.309703861
1,right,intoxicated,right,0.298923426
1,left,intoxicated,right,0.286374991
1,right,hangover,left,0.227968255
1,left,hangover,left,0.219069554
1,left,intoxicated,left,0.336007931
1,right,intoxicated,right,0.341297102
1,left,intoxicated,right,0.184590873
1,right,intoxicated,right,0.292661756
1,right,intoxicated,right,0.189987039
1,right,hangover,right,0.292964234
1,left,intoxicated,left,0.188472441
1,left,intoxicated,left,0.336556625
1,left,intoxicated,left,0.248311154
1,left,hangover,left,0.237077452
1,left,intoxicated,left,0.257911894
1,left,hangover,right,0.227425729
1,right,hangover,left,0.268257095
1,right,intoxicated,left,0.416633053
1,left,hangover,left,0.284220128
1,left,hangover,left,0.204526722
1,right,intoxicated,right,0.303255504
1,right,hangover,left,0.379140874
1,right,intoxicated,right,0.231230678
1,right,intoxicated,right,0.318449361
1,right,intoxicated,right,0.283396171
1,left,intoxicated,left,0.284998509
1,left,intoxicated,left,0.278098683
1,left,intoxicated,right,0.338117836
1,right,hangover,right,0.205095918
1,left,hangover,left,0.288823081
1,right,intoxicated,right,0.213964968
1,left,intoxicated,left,0.225178467
1,right,hangover,right,0.18140885
1,right,hangover,right,0.462141839
1,left,intoxicated,left,0.278124165
1,left,hangover,right,0.271621266
1,left,intoxicated,left,0.194066559
1,left,hangover,left,0.23989155
1,left,hangover,right,0.212876047
1,right,hangover,left,0.320452269
1,left,hangover,right,0.309021808
1,right,hangover,right,0.250294461
1,left,intoxicated,left,0.288577908
1,left,intoxicated,left,0.308764015
1,left,hangover,right,0.441651476
1,right,intoxicated,left,0.318197931
1,left,intoxicated,right,0.220570057
1,right,intoxicated,right,0.195440405
1,left,intoxicated,left,0.436739347
1,left,intoxicated,left,0.187064937
1,left,intoxicated,left,0.331936582
1,right,hangover,left,0.444170862
1,left,hangover,right,0.229780795
1,left,hangover,right,0.179150944
1,left,hangover,right,0.942417825
1,right,intoxicated,left,0.287087429
1,right,hangover,left,0.207850648
1,left,intoxicated,left,0.192131032
1,left,hangover,right,0.387389613
1,right,intoxicated,left,0.239770925
1,left,hangover,right,0.297214132
1,left,hangover,right,0.208956088
1,left,intoxicated,left,0.238609848
1,right,hangover,right,0.232413856
1,right,intoxicated,right,0.200180445
1,right,intoxicated,right,0.227247013
1,right,intoxicated,right,0.216708942
1,right,hangover,right,0.319290266
1,right,hangover,right,0.259185341
1,right,hangover,left,0.184440761
1,right,intoxicated,right,0.268965882
1,left,hangover,right,0.371383292
1,left,hangover,left,0.182461193
1,left,intoxicated,left,0.267982634
1,left,intoxicated,left,0.23610475
1,left,intoxicated,left,0.255351132
1,right,hangover,left,0.218127376
1,left,intoxicated,left,0.301740483
1,left,hangover,left,0.280743301
1,left,intoxicated,left,0.558644332
1,right,hangover,left,0.371265618
1,right,hangover,left,0.256191895
1,right,hangover,left,0.312056223
1,right,hangover,left,0.483591218
1,left,intoxicated,left,0.387810238
1,left,hangover,left,0.251578004
1,left,intoxicated,right,0.244435234
1,right,intoxicated,right,0.372461187
1,right,intoxicated,left,0.257672107
1,right,hangover,right,0.194018186
1,left,intoxicated,left,0.203718788
1,right,hangover,left,0.337698587
1,right,intoxicated,left,0.316959714
1,left,hangover,right,0.255401658
1,right,hangover,left,0.298935657
1,left,intoxicated,left,0.19717595
1,right,intoxicated,left,0.193828766
1,left,intoxicated,right,0.197443236
1,left,hangover,right,0.528002519
1,right,hangover,left,0.221279546
1,right,hangover,right,0.217315893
1,right,hangover,right,0.254383228
1,right,hangover,right,0.220707631
1,right,intoxicated,left,0.20863
1,left,intoxicated,right,0.365314199
1,left,hangover,right,0.537206554
1,right,intoxicated,right,0.23668671
1,right,hangover,right,0.286282326
1,right,intoxicated,left,0.205909984
1,right,hangover,right,0.2259058
1,left,intoxicated,left,0.258961487
1,left,hangover,left,0.254836029
1,left,hangover,right,0.208519568
1,right,hangover,left,0.307293832
1,right,intoxicated,right,0.373081109
1,right,hangover,left,0.236121684
1,right,hangover,right,0.251205443
1,left,intoxicated,left,0.222753265
1,right,intoxicated,right,0.20112312
1,right,hangover,left,0.599581276
1,left,hangover,right,0.205135738
1,right,hangover,right,0.235850159
1,right,intoxicated,right,0.315631285
1,right,hangover,right,0.306494192
1,left,hangover,left,0.189002598
1,right,hangover,left,0.30447714
1,left,hangover,left,0.648070348
1,left,intoxicated,right,0.322069578
1,left,hangover,left,0.232323003
1,left,hangover,right,0.191647941
1,left,hangover,left,0.29484825
1,right,hangover,right,0.205959381
1,left,hangover,left,0.220908752
1,right,intoxicated,right,0.22289099
1,right,hangover,left,0.534950398
1,right,hangover,left,0.243517682
1,right,intoxicated,right,0.269170959
1,right,hangover,left,0.220793063
1,right,hangover,right,0.347400031
1,left,hangover,right,0.272084303
1,left,hangover,right,0.246027636
1,right,hangover,right,0.307867397
1,left,hangover,left,0.213328027
1,right,hangover,left,0.525835987
1,left,intoxicated,left,0.310003376
1,right,intoxicated,right,0.341110511
1,left,hangover,right,0.185201653
1,left,hangover,left,0.313589068
1,right,intoxicated,right,0.183947262
1,right,intoxicated,right,0.300379555
1,left,hangover,right,0.300608207
1,right,hangover,right,0.250782019
1,left,hangover,right,0.257290626
1,left,hangover,right,0.180431683
1,right,hangover,left,0.231233505
1,right,intoxicated,right,0.223079703
1,right,intoxicated,right,0.441496569
1,left,intoxicated,left,0.199501074
1,left,hangover,left,0.210130107
1,right,intoxicated,left,0.198283549
1,left,intoxicated,left,0.201988742
1,right,intoxicated,right,0.308232528
1,right,hangover,left,0.267922145
1,right,intoxicated,right,0.334827461
1,right,intoxicated,right,0.258682292
1,right,hangover,right,0.45984608
1,right,intoxicated,right,0.368965555
1,right,intoxicated,right,0.208248877
1,left,intoxicated,right,0.197682264
1,right,hangover,left,0.22044439
1,left,hangover,left,0.229867738
1,right,hangover,left,0.464732956
1,right,intoxicated,right,0.280456773
1,left,hangover,left,0.181858921
1,right,hangover,left,0.265942532
1,right,intoxicated,right,0.236160555
1,right,hangover,right,0.422671155
1,right,intoxicated,left,0.249229904
1,left,intoxicated,left,0.36683358
1,right,intoxicated,right,0.462815824
1,left,hangover,left,0.253449022
1,left,hangover,left,0.247438285
1,right,hangover,left,0.207294473
1,right,intoxicated,right,0.343029041
1,left,intoxicated,left,0.253789196
1,left,hangover,right,0.289098301
1,right,hangover,right,0.264550777
1,left,intoxicated,left,0.222178245
1,left,hangover,right,0.366493386
1,left,intoxicated,left,0.25923959
1,left,intoxicated,left,0.199220191
1,left,intoxicated,left,0.209397274
1,left,intoxicated,left,0.269418078
1,left,hangover,right,0.36869093
1,left,hangover,left,0.226360542
1,right,hangover,right,0.778223329
1,right,hangover,left,0.332803626
1,right,hangover,right,0.233711281
1,left,intoxicated,left,0.214104501
1,left,intoxicated,left,0.303420819
1,right,hangover,right,0.381059356
1,right,intoxicated,left,0.192088613
1,left,hangover,right,0.195192918
1,left,hangover,right,0.192493326
1,left,intoxicated,left,0.247896145
1,right,intoxicated,left,0.205259624
1,left,intoxicated,left,0.267085938
1,right,hangover,left,0.242446245
1,left,intoxicated,left,0.293404201
1,left,intoxicated,right,0.349534451
1,right,hangover,left,0.226543481
1,left,hangover,left,0.189477648
1,left,intoxicated,left,0.596369176
1,right,hangover,left,0.335666567
1,right,intoxicated,left,0.217380722
1,right,intoxicated,right,0.460246658
1,left,hangover,right,0.236454666
1,right,hangover,left,0.68103671
1,right,hangover,left,0.282767707
1,right,intoxicated,left,0.297709661
1,right,hangover,left,0.23346467
1,left,hangover,right,0.210724726
1,right,intoxicated,right,0.235684916
1,right,intoxicated,right,0.332025033
1,right,hangover,left,0.282171448
1,left,hangover,right,0.220354822
1,right,hangover,right,0.567337517
1,right,intoxicated,right,0.212368637
1,left,hangover,right,0.427796802
1,left,hangover,right,0.233410826
1,left,hangover,left,0.22808104
1,left,intoxicated,left,0.205657524
1,right,intoxicated,right,0.202935041
1,right,hangover,left,0.388100838
1,left,intoxicated,right,0.422757907
1,left,hangover,left,0.262958529
1,right,hangover,right,0.287323176
1,left,intoxicated,left,0.347800464
1,right,intoxicated,right,0.213598855
1,right,hangover,right,0.413673001
1,right,hangover,right,0.183969895
1,right,intoxicated,right,0.267439122
1,right,hangover,right,0.425335589
1,right,intoxicated,right,0.308674065
1,left,intoxicated,left,0.197499517
1,right,hangover,right,0.254065278
1,left,intoxicated,right,0.225894106
1,left,hangover,right,0.35556663
1,right,hangover,left,0.204821106
1,right,hangover,right,0.324873203
1,right,hangover,right,0.234063968
1,right,hangover,right,0.353650615
1,left,intoxicated,left,0.300712533
1,right,intoxicated,right,0.375232313
1,right,intoxicated,left,0.265944451
1,left,intoxicated,left,0.195716135
1,left,hangover,right,0.29497495
1,left,hangover,left,0.226684436
1,left,hangover,right,0.220763861
1,right,intoxicated,left,0.309700912
2,left,intoxicated,left,0.394927749
2,left,intoxicated,left,0.485577777
2,right,hangover,left,0.556762317
2,left,intoxicated,left,0.407772489
2,left,hangover,left,0.561770483
2,right,intoxicated,left,0.481946648
2,right,hangover,right,0.478787531
2,right,intoxicated,right,0.372189574
2,left,intoxicated,left,0.381399117
2,left,hangover,right,0.408121471
2,right,hangover,right,0.666424767
2,left,intoxicated,left,0.413130269
2,left,hangover,left,0.433568701
2,right,hangover,left,0.389920401
2,left,intoxicated,left,0.363543835
2,left,hangover,left,0.406687287
2,left,hangover,left,0.401254376
2,left,hangover,right,0.360351084
2,left,intoxicated,left,0.42112988
2,left,intoxicated,right,0.673264507
2,left,intoxicated,left,0.372503028
2,right,hangover,right,0.350020542
2,left,hangover,left,0.732218764
2,right,intoxicated,left,0.451294981
2,left,intoxicated,left,0.515765951
2,left,hangover,right,0.656962881
2,left,hangover,left,0.515975949
2,left,hangover,right,0.385989075
2,right,hangover,left,0.365766626
2,left,intoxicated,left,0.392109387
2,right,intoxicated,right,0.476654693
2,left,intoxicated,left,0.408804327
2,right,intoxicated,left,0.545664723
2,right,intoxicated,right,0.458166991
2,left,intoxicated,left,0.508309634
2,left,hangover,left,0.450929501
2,right,hangover,right,0.458040095
2,right,hangover,right,0.416800224
2,right,intoxicated,right,0.468535748
2,right,intoxicated,right,0.488360375
2,left,hangover,right,0.426403755
2,left,hangover,left,0.501669804
2,left,hangover,left,0.404393311
2,right,hangover,right,0.407024207
2,left,hangover,right,0.384456748
2,left,intoxicated,left,0.482192232
2,left,hangover,left,0.453890208
2,left,hangover,left,0.438917172
2,left,hangover,right,0.664405594
2,right,intoxicated,right,0.46474169
2,right,hangover,left,0.431179644
2,right,hangover,right,0.397365786
2,left,hangover,right,0.423040786
2,right,intoxicated,left,0.509364607
2,left,intoxicated,right,0.50351528
2,left,intoxicated,right,0.403954484
2,left,hangover,right,1.084813341
2,right,hangover,left,0.721706977
2,right,intoxicated,left,0.363658286
2,left,hangover,right,0.394771826
2,right,intoxicated,left,0.368937693
2,right,hangover,left,0.380032152
2,right,hangover,right,0.385130334
2,right,intoxicated,left,0.699013773
2,right,intoxicated,right,0.551701351
2,right,intoxicated,right,0.612462302
2,left,hangover,right,0.453059642
2,left,intoxicated,left,0.346819358
2,right,hangover,left,0.360109222
2,right,intoxicated,left,0.381959585
2,right,intoxicated,left,0.556883226
2,right,intoxicated,right,0.575333274
2,left,intoxicated,left,0.48873811
2,right,intoxicated,right,0.379057811
2,right,intoxicated,right,0.508396245
2,left,hangover,left,0.461741586
2,right,intoxicated,right,0.391158145
2,left,intoxicated,left,0.622950289
2,left,intoxicated,left,0.347525961
2,right,hangover,right,0.464679999
2,left,intoxicated,right,0.587510452
2,left,hangover,right,0.494047547
2,right,hangover,right,0.424295095
2,left,hangover,left,0.506338971
2,left,hangover,left,0.429799637
2,left,intoxicated,left,0.679746093
2,left,intoxicated,left,0.420246347
2,right,hangover,left,0.399965513
2,left,intoxicated,left,0.382619747
2,right,intoxicated,right,0.378182703
2,left,intoxicated,left,0.435855395
2,right,hangover,right,0.388354259
2,left,intoxicated,right,0.369262203
2,right,intoxicated,right,0.445753937
2,right,hangover,left,0.461631708
2,left,hangover,left,0.435667845
2,right,intoxicated,left,0.604865106
2,right,hangover,right,0.433041653
2,left,hangover,left,0.444831686
2,left,hangover,right,0.74466967
2,left,intoxicated,right,0.391934364
2,right,intoxicated,right,0.368294314
2,left,hangover,left,0.392743561
2,right,intoxicated,right,0.577448939
2,right,hangover,left,0.65004024
2,right,hangover,right,0.386377494
2,left,intoxicated,left,0.502129725
2,left,hangover,left,0.395741069
2,left,hangover,right,0.494418167
2,left,intoxicated,left,0.502694235
2,left,hangover,right,0.436594762
2,right,hangover,left,0.421701251
2,right,hangover,left,0.652074297
2,right,hangover,left,0.509973446
2,right,hangover,right,0.403506245
2,left,hangover,right,0.734677397
2,right,hangover,right,0.377626714
2,left,hangover,right,0.464792894
2,left,intoxicated,left,0.412997039
2,right,intoxicated,right,0.603933641
2,right,hangover,left,0.590894524
2,left,intoxicated,left,0.479292667
2,left,intoxicated,left,0.474075025
2,right,hangover,left,0.436913223
2,right,hangover,right,0.402128479
2,right,hangover,right,0.408947846
2,left,hangover,left,0.37946309
2,right,intoxicated,right,0.358011193
2,left,hangover,right,0.384682837
2,right,hangover,right,0.38482493
2,right,hangover,right,0.452852029
2,right,hangover,left,0.473471348
2,right,intoxicated,left,0.393127309
2,right,hangover,right,0.536586397
2,left,intoxicated,right,0.469754769
2,right,hangover,left,0.551360451
2,left,hangover,left,0.372214006
2,left,intoxicated,left,0.378578352
2,right,hangover,right,0.478370873
2,left,hangover,left,0.383885101
2,right,hangover,left,1.005736142
2,right,hangover,left,0.530469506
2,left,intoxicated,left,0.422478768
2,right,hangover,right,0.613070737
2,right,hangover,left,0.39963071
2,left,intoxicated,left,0.457483173
2,right,hangover,left,0.394743047
2,left,hangover,left,0.389328411
2,left,hangover,right,0.776917037
2,left,hangover,left,0.563905012
2,right,intoxicated,left,0.431403264
2,right,hangover,left,0.450560924
2,left,intoxicated,right,0.564633515
2,left,hangover,right,0.388289467
2,right,hangover,right,0.448870121
2,right,hangover,left,0.474555378
2,left,intoxicated,right,0.372703609
2,right,intoxicated,right,0.38158647
2,right,intoxicated,left,0.458312379
2,left,intoxicated,right,0.429135368
2,left,intoxicated,right,0.377760901
2,right,hangover,left,0.503039392
2,left,intoxicated,left,0.501497946
2,left,intoxicated,right,0.394983899
2,left,intoxicated,right,0.384596828
2,left,intoxicated,left,0.450656723
2,left,hangover,left,0.513646583
2,left,hangover,right,0.737502062
2,left,intoxicated,right,0.475412848
2,left,hangover,left,0.416830823
2,left,intoxicated,right,0.65944533
2,left,hangover,right,0.357039663
2,right,intoxicated,right,0.399673733
2,left,intoxicated,left,0.46575168
2,left,intoxicated,left,0.375994114
2,right,hangover,right,0.454697966
2,right,hangover,left,0.415159578
2,right,hangover,right,0.417427686
2,left,hangover,left,0.490903347
2,right,intoxicated,left,0.462309519
2,right,intoxicated,left,0.368145133
2,right,intoxicated,right,0.409361104
2,right,hangover,left,0.384672131
2,right,intoxicated,right,0.415275563
2,right,intoxicated,right,0.413801129
2,left,hangover,left,0.371441893
2,right,intoxicated,right,0.51406954
2,left,intoxicated,right,0.413658099
2,left,hangover,right,0.350198941
2,right,hangover,left,0.486225359
2,right,hangover,right,0.349209212
2,left,intoxicated,left,0.351877066
2,right,intoxicated,right,0.507321915
2,right,hangover,right,0.382569598
2,right,intoxicated,right,0.640598531
2,left,hangover,right,0.454415736
2,right,intoxicated,right,0.425683963
2,left,intoxicated,left,0.360001452
2,right,intoxicated,left,0.404569973
2,left,hangover,right,0.506021346
2,left,hangover,right,0.789297112
2,right,hangover,left,0.585764707
2,right,intoxicated,right,0.488789723
2,left,hangover,right,0.449875868
2,left,intoxicated,left,0.5001062
2,left,hangover,right,0.521887636
2,left,hangover,right,0.369683289
2,left,intoxicated,right,0.407058257
2,left,intoxicated,right,0.468579325
2,right,intoxicated,right,0.694091754
2,right,intoxicated,right,0.463335735
2,right,intoxicated,right,0.661295592
2,left,hangover,right,0.915006915
2,left,intoxicated,left,0.361120762
2,right,hangover,right,0.403218655
2,right,intoxicated,left,0.383817462
2,right,hangover,left,0.448531544
2,left,intoxicated,right,0.620050293
2,left,intoxicated,right,0.514338202
2,left,hangover,right,0.514593156
2,right,hangover,right,0.448119678
2,right,intoxicated,right,0.450018617
2,right,hangover,left,0.496588583
2,right,hangover,right,0.779817487
2,right,hangover,right,0.458768747
2,right,intoxicated,right,0.37974147
2,right,hangover,right,0.475833631
2,right,hangover,left,0.545273009
2,right,hangover,left,0.39340365
2,left,intoxicated,left,0.432990591
2,left,hangover,left,0.780150346
2,right,intoxicated,left,0.376425379
2,left,hangover,right,0.414666473
2,left,hangover,left,0.685416981
2,right,intoxicated,right,0.587440896
2,left,hangover,right,0.505610575
2,left,hangover,left,0.42464532
2,right,intoxicated,right,0.422947271
2,left,intoxicated,left,0.422994886
2,left,hangover,right,0.535379698
2,left,intoxicated,left,0.499290053
2,right,intoxicated,left,0.357864365
2,right,intoxicated,right,0.453479887
2,left,intoxicated,left,0.462059395
2,right,intoxicated,left,0.573071673
2,right,hangover,left,0.481975589
2,right,intoxicated,right,0.415022974
2,left,hangover,right,0.373371619
2,left,hangover,left,0.666246643
2,left,hangover,left,0.440200953
2,right,intoxicated,left,0.369571876
2,right,intoxicated,right,0.393185164
2,left,intoxicated,right,0.372323906
2,left,intoxicated,right,0.468305489
2,right,intoxicated,right,0.460010668
2,right,hangover,right,0.468638624
2,left,intoxicated,right,0.63417676
2,right,intoxicated,right,0.367288897
2,right,hangover,left,0.615388759
2,right,hangover,right,0.58459849
2,right,hangover,right,0.425661573
2,left,intoxicated,right,0.561688362
2,left,hangover,right,0.450712254
2,right,intoxicated,right,0.36594706
2,right,hangover,left,0.44965355
2,left,hangover,right,0.641320771
2,right,hangover,left,0.545008691
2,right,intoxicated,right,0.354591549
2,left,hangover,right,0.469669391
2,left,hangover,left,0.68720076
2,right,intoxicated,right,0.435972054
2,left,hangover,right,0.491580956
2,left,hangover,left,0.434019241
2,right,hangover,right,0.373713668
2,right,intoxicated,left,0.417025657
2,left,hangover,right,0.697999207
2,left,hangover,left,0.46200007
2,right,hangover,right,0.360455034
2,left,hangover,left,0.729589639
2,right,hangover,right,0.364448615
2,left,intoxicated,left,0.381268255
2,right,intoxicated,left,0.380719892
2,left,intoxicated,right,0.463766814
2,left,intoxicated,left,0.396268521
2,left,hangover,right,0.353162715
2,left,intoxicated,left,0.635411908
2,right,intoxicated,right,0.706424587
2,left,hangover,left,0.452408646
2,left,hangover,left,0.418030562
2,right,intoxicated,right,0.698399209
2,left,intoxicated,right,0.705743288
2,right,hangover,left,1.058834247
2,left,intoxicated,left,0.388711882
2,right,intoxicated,right,0.374291749
2,right,intoxicated,left,0.505306934
2,left,intoxicated,left,0.564876157
2,right,intoxicated,left,0.385580718
2,right,hangover,right,0.453495257
2,right,hangover,right,0.514539834
2,left,intoxicated,left,0.498411982
2,right,hangover,left,0.37000626
2,right,intoxicated,left,0.367923417
2,right,intoxicated,left,0.503953031
2,right,intoxicated,left,0.452835188
2,left,hangover,right,0.383247986
2,right,intoxicated,right,0.37162279
2,right,hangover,left,0.403228179
2,left,intoxicated,right,0.605983573
2,right,intoxicated,right,0.516689285
2,left,intoxicated,right,0.37707769
2,right,intoxicated,left,0.563471986
2,right,intoxicated,left,0.357175878
2,right,hangover,left,0.356553795
2,left,intoxicated,right,0.449365413
2,left,hangover,right,0.452276332
2,left,intoxicated,left,0.423123443
2,right,intoxicated,left,0.737970696
2,left,hangover,right,0.434942623
2,left,intoxicated,left,0.36092872
2,right,hangover,right,0.548374794
2,right,hangover,right,0.467308184
2,right,hangover,right,0.392994252
2,right,intoxicated,left,0.400464312
2,right,intoxicated,right,0.39194703
2,left,intoxicated,left,0.574230257
2,left,hangover,left,0.457948317
2,left,intoxicated,left,0.549544545
2,right,intoxicated,left,0.457996531
2,left,hangover,right,0.413820819
2,left,hangover,left,0.39253895
2,left,intoxicated,right,0.356098489
2,right,intoxicated,right,0.428863671
2,right,intoxicated,left,0.758121821
2,right,hangover,left,0.56848916
2,right,hangover,left,0.349695423
2,right,hangover,left,0.408884679
2,right,hangover,left,0.560786809
2,left,intoxicated,right,0.402886143
2,right,intoxicated,right,0.82564853
2,right,hangover,right,0.750013316
2,left,intoxicated,left,0.492714709
2,left,hangover,left,0.765754297
2,right,intoxicated,right,0.405512318
2,left,intoxicated,left,0.450357512
2,right,intoxicated,right,0.434471947
2,right,hangover,right,0.735209129
2,left,intoxicated,left,0.393639323
2,left,hangover,left,0.393665822
2,left,intoxicated,left,0.406581791
2,left,intoxicated,left,0.738231969
2,right,hangover,left,0.417232304
2,right,hangover,left,0.535865582
2,right,intoxicated,right,0.55492983
2,right,hangover,left,0.352974643
2,left,intoxicated,left,0.369455109
2,right,intoxicated,right,0.429752897
2,left,hangover,right,0.594283301
2,left,hangover,right,0.417324649
2,left,hangover,left,0.378261656
2,right,intoxicated,left,0.376192584
2,left,hangover,left,0.855752944
2,left,hangover,left,0.574782795
