subjects,S,condition,R,rt,correct
3,right,intoxicated,right,0.67894043,1
3,left,intoxicated,left,0.525814861,1
3,left,intoxicated,right,0.522167908,0
3,left,intoxicated,right,0.605162132,0
3,right,intoxicated,right,0.609774235,1
3,left,intoxicated,right,0.512419334,0
3,right,intoxicated,right,0.573814684,1
3,right,intoxicated,right,0.584113214,1
3,left,intoxicated,left,0.582372621,1
3,left,intoxicated,left,0.523076603,1
3,left,intoxicated,right,0.529552467,0
3,left,intoxicated,left,0.600001238,1
3,left,intoxicated,left,0.635436714,1
3,right,intoxicated,right,0.583244244,1
3,left,intoxicated,left,0.603884625,1
3,right,intoxicated,right,0.541769825,1
3,left,intoxicated,right,0.523548331,0
3,left,intoxicated,left,0.656473458,1
3,right,intoxicated,right,0.507506745,1
3,left,intoxicated,left,0.547085457,1
3,right,intoxicated,right,0.50897013,1
3,left,intoxicated,right,0.65231255,0
3,left,intoxicated,left,0.517619681,1
3,right,intoxicated,left,0.559183486,0
3,left,intoxicated,right,0.511810431,0
3,right,intoxicated,right,0.618835062,1
3,right,intoxicated,right,0.539771756,1
3,left,intoxicated,left,0.49964924,1
3,left,intoxicated,left,0.557731401,1
3,left,intoxicated,left,0.600784781,1
3,right,intoxicated,left,0.542513027,0
3,right,intoxicated,left,0.515872712,0
3,left,intoxicated,right,0.768427118,0
3,right,intoxicated,left,0.680997453,0
3,left,intoxicated,left,0.564254408,1
3,left,intoxicated,left,0.521136418,1
3,right,intoxicated,left,0.513011132,0
3,left,intoxicated,left,0.577494105,1
3,left,intoxicated,right,0.521656811,0
3,right,intoxicated,right,0.529590418,1
3,left,intoxicated,right,0.525174026,0
3,right,intoxicated,right,0.512161885,1
3,left,intoxicated,left,0.511771388,1
3,left,intoxicated,left,0.50919212,1
3,left,intoxicated,left,0.582889606,1
3,left,intoxicated,right,0.515005381,0
3,left,intoxicated,right,0.56698763,0
3,left,intoxicated,left,0.504517143,1
3,right,intoxicated,right,0.505853431,1
3,right,intoxicated,right,0.640999419,1
3,right,intoxicated,left,0.500645318,0
3,left,intoxicated,left,0.497902934,1
3,left,intoxicated,left,0.646144333,1
3,right,intoxicated,left,0.538341822,0
3,right,intoxicated,right,0.545303487,1
3,left,intoxicated,right,0.722144211,0
3,right,intoxicated,right,0.67907506,1
3,left,intoxicated,left,0.598535736,1
3,left,intoxicated,right,0.668440646,0
3,right,intoxicated,right,0.612003712,1
3,right,intoxicated,right,0.573864354,1
3,left,intoxicated,right,0.503394671,0
3,left,intoxicated,right,0.565099069,0
3,right,intoxicated,left,0.52050118,0
3,left,intoxicated,left,0.841419139,1
3,right,intoxicated,left,0.616374157,0
3,left,intoxicated,left,0.58812621,1
3,left,intoxicated,left,0.605789613,1
3,left,intoxicated,left,0.731918349,1
3,left,intoxicated,left,0.514092789,1
3,left,intoxicated,left,0.605380217,1
3,left,intoxicated,left,0.506473561,1
3,right,intoxicated,right,0.516919217,1
3,right,intoxicated,right,0.543600798,1
3,right,intoxicated,left,0.523102119,0
3,right,intoxicated,right,0.546999637,1
3,right,intoxicated,left,0.621456703,0
3,left,intoxicated,left,0.552130575,1
3,left,intoxicated,right,0.52109581,0
3,right,intoxicated,right,0.765168064,1
3,left,intoxicated,left,0.533018379,1
3,right,intoxicated,left,0.610121906,0
3,right,intoxicated,right,0.521500972,1
3,right,intoxicated,right,0.526188881,1
3,right,intoxicated,right,0.568969053,1
3,right,intoxicated,left,0.581347052,0
3,left,intoxicated,left,0.6167174,1
3,left,intoxicated,right,0.750400944,0
3,right,intoxicated,right,0.548833355,1
3,left,intoxicated,right,0.60637149,0
3,right,intoxicated,right,0.69093091,1
3,right,intoxicated,left,0.60800017,0
3,right,intoxicated,right,0.517851757,1
3,left,intoxicated,right,0.52485484,0
3,left,intoxicated,right,0.544249077,0
3,left,intoxicated,right,0.557602307,0
3,left,intoxicated,left,0.550690348,1
3,left,intoxicated,left,0.56473401,1
3,right,intoxicated,right,0.549883779,1
3,left,intoxicated,right,0.76161005,0
3,right,intoxicated,left,0.506127886,0
3,left,intoxicated,left,0.509549805,1
3,left,intoxicated,left,0.50921043,1
3,left,intoxicated,right,0.557210422,0
3,left,intoxicated,right,0.506869208,0
3,left,intoxicated,right,0.533797805,0
3,right,intoxicated,right,0.565863038,1
3,right,intoxicated,right,0.60052825,1
3,left,intoxicated,right,0.626844843,0
3,right,intoxicated,right,0.530922156,1
3,left,intoxicated,right,0.540150301,0
3,right,intoxicated,right,0.56291016,1
3,left,intoxicated,left,0.679002757,1
3,right,intoxicated,left,0.854451866,0
3,left,intoxicated,left,0.551289187,1
3,right,intoxicated,right,0.54586453,1
3,left,intoxicated,right,0.504485539,0
3,right,intoxicated,right,0.538111908,1
3,right,intoxicated,right,0.582436346,1
3,right,intoxicated,right,0.538475879,1
3,right,intoxicated,left,0.564639666,0
3,right,intoxicated,left,0.500834551,0
3,left,intoxicated,right,0.589285783,0
3,left,intoxicated,left,0.568312094,1
3,right,intoxicated,right,0.579372464,1
3,left,intoxicated,right,0.657853566,0
3,right,intoxicated,right,0.548240649,1
3,right,intoxicated,right,0.548644814,1
3,right,intoxicated,left,0.777802598,0
3,right,intoxicated,right,0.521531655,1
3,right,intoxicated,right,0.506878855,1
3,left,intoxicated,right,0.560362508,0
3,left,intoxicated,left,0.503238388,1
3,left,intoxicated,left,0.661322357,1
3,left,intoxicated,left,0.625918864,1
3,right,intoxicated,right,0.61062722,1
3,left,intoxicated,left,0.530283244,1
3,right,intoxicated,right,0.569921949,1
3,left,intoxicated,left,0.619809364,1
3,left,intoxicated,left,0.513023076,1
3,left,intoxicated,left,0.521386547,1
3,right,intoxicated,right,0.585335244,1
3,right,intoxicated,right,0.560262084,1
3,right,intoxicated,right,0.538301541,1
3,left,intoxicated,left,0.519520747,1
3,right,intoxicated,right,0.603798743,1
3,left,intoxicated,left,0.563567495,1
3,right,intoxicated,right,0.5193388,1
3,left,intoxicated,right,0.509065706,0
3,right,intoxicated,right,0.545849097,1
3,right,intoxicated,right,0.53549547,1
3,left,intoxicated,left,0.541918867,1
3,left,intoxicated,left,0.511866727,1
3,right,intoxicated,right,0.731226117,1
3,right,intoxicated,right,0.664723275,1
3,left,intoxicated,right,0.802531709,0
3,left,intoxicated,left,0.729736931,1
3,right,intoxicated,right,0.552618658,1
3,left,intoxicated,left,0.549566003,1
3,left,intoxicated,left,0.511821173,1
3,right,intoxicated,right,0.539960599,1
3,left,intoxicated,left,0.55817897,1
3,right,intoxicated,right,0.500456739,1
3,left,intoxicated,right,0.566723076,0
3,right,intoxicated,right,0.542041032,1
3,right,intoxicated,right,0.652928571,1
3,right,intoxicated,right,0.60059034,1
4,right,intoxicated,left,0.857158947,0
4,left,intoxicated,left,0.821970967,1
4,right,intoxicated,right,0.668970639,1
4,left,intoxicated,left,0.62201508,1
4,left,intoxicated,right,0.613791684,0
4,right,intoxicated,right,0.691872432,1
4,left,intoxicated,right,0.645849138,0
4,left,intoxicated,left,0.710768041,1
4,right,intoxicated,right,0.661290886,1
4,right,intoxicated,right,0.598309363,1
4,left,intoxicated,left,0.614643217,1
4,left,intoxicated,right,0.690029729,0
4,left,intoxicated,left,0.670450238,1
